Maj-Week,EURGBP,EURAUD,EURNZD,EURCAD,EURUSD,EURJPY,GBPAUD,GBPNZD,GBPCAD,GBPUSD,GBPJPY,AUDUSD,AUDJPY,AUDCAD,NZDUSD,NZDJPY,NZDCAD,USDCAD,CADJPY,USDCHF
31-Aug,-2,58,-24,-83,-56,27,62,-21,-80,-53,29,-114,-32,-141,-31,51,-59,-27,111,103
07-Sep,385,4,87,96,7,-1,-368,-288,-280,-365,-372,4,-3,92,-79,-87,10,88,-94,-51
14-Sep,-99,-15,-142,15,-6,-155,85,-42,115,95,-56,9,-141,30,138,-13,157,21,-170,30
21-Sep,-45,187,144,-41,-176,-82,233,189,4,-133,-38,-357,-264,-233,-316,-225,-183,137,-42,-186
28-Sep,-74,-111,-64,14,73,51,-37,11,89,149,121,187,161,124,140,116,81,-59,32,-88
05-Oct,12,-14,45,-48,95,123,-25,35,-58,86,116,110,139,-35,49,78,-95,-140,177,-108
12-Oct,6,130,1,-40,-94,-115,124,-6,-46,-99,-120,-222,-242,-164,-94,-115,-40,52,-76,47
19-Oct,25,39,-5,72,123,56,14,-19,46,96,30,83,15,31,124,60,76,-50,-16,-114
26-Oct,-112,-25,-66,-32,-180,-183,87,47,82,-68,-75,-155,-158,-8,-113,-125,34,150,-155,139
02-Nov,36,-129,-46,-7,194,67,-166,-82,-40,158,32,329,201,124,242,121,40,-199,79,-183
