Min-Week,USDJPY,AUDNZD,EURCHF,GBPCHF,AUDCHF,NZDCHF,CADCHF,CHFJPY,EURSGD,GBPSGD,AUDSGD,NZDSGD,CADSGD,USDSGD,EURMXN,GBPMXN,SPX-500,USDWTI,SILVER,GOLD
31-Aug,83,-82,47,49,-13,71,131,-20,-7,-4,-66,17,76,50,-140,141,-265,-816,-213,-161
07-Sep,-7,83,-44,-413,-47,-130,-138,44,33,-340,30,-53,-62,26,-125,-487,-227,-540,-67,-34
14-Sep,-150,-127,24,125,40,168,9,-179,-68,32,-53,75,-83,-64,-68,29,-27,960,17,56
21-Sep,97,-44,8,52,-175,-135,51,-88,-48,-5,-231,-190,-7,130,380,426,-97,-192,-1452,-462
28-Sep,-25,50,-16,60,93,49,-32,61,-26,50,87,40,-39,-101,-256,-181,181,-769,358,208
05-Oct,28,59,-20,-27,-1,-62,33,143,14,4,28,-31,62,-77,-128,-142,383,956,599,162
12-Oct,-20,-130,-40,-54,-174,-44,-6,-70,-53,-59,182,-55,-14,42,-87,-88,-35,48,-392,-160
19-Oct,-66,-42,5,-33,-32,8,-65,52,-53,96,83,25,50,-9,-16,-40,-35,-52,93,14
26-Oct,-8,-39,-42,71,-17,26,-10,-150,-22,-10,-97,-55,-90,66,-28,79,-3,-6,-89,-22
02-Nov,-119,84,9,-29,141,56,15,63,61,25,194,108,67,-132,-92,-129,0,465,835,389
